2017-02-22 23:53:00,"@Mrjd0uble #Podesta's play re #Horus
#PizzaGate #Rape #msm is #FakeNews #Pedogate #CNNLeaks #SexSadists Comet Ping… https://t.co/F7o61EWRoR"
2017-02-22 23:52:27,#FakeNews Donald Trump aide Sebastian Gorka accuses BBC of 'fake news'- BBC Newsnight https://t.co/fzO4pIqguB via @YouTube
2017-02-22 23:52:16,This has been proven false. #fakenews https://t.co/F9LqWNEB5Q
2017-02-22 23:52:14,Beware of Misleading Headlines and misleading news articles from #FakeNews Networks. https://t.co/K7UIq3PxyT
2017-02-22 23:51:55,#Viral agency admits #video of female cyclist revenge may be... #fakenews  https://t.co/4BrV9gkISH
2017-02-22 23:51:52,"@PARISDENNARD = #deceptivedennard. @CNN pls disinvite those who simultaneously peddle, accuse @donlemon+others of… https://t.co/jITJ8H0ijO"
2017-02-22 23:51:38,More from this nutbag racist douche. #makeracistsafraidagain #MAGA #FAKENEWS CNNleaks #Trumprussia https://t.co/1bFqKrCeSJ
2017-02-22 23:51:33,"That's how u get Huey Lewis &amp; News 4 #FakeNews. #DonaldTrump ""ducking"" Media &amp; #TemperTantrums is him as #DonaldDuck https://t.co/MbgmElKro8"
2017-02-22 23:51:17,"Did Stephen Miller Throw a White Power Sign? #FakeNews

Jeez, you #Libs are pathetic...
 https://t.co/h4fyogiTpe"
2017-02-22 23:51:16,is @Hillary the ANTI Christ? https://t.co/IXqVQ0a8Ol #FakeNews
2017-02-22 23:51:07,#CNNLeaks Look #MAGA #FakeNews https://t.co/uV0ut5dyTI
2017-02-22 23:51:06,"Propaganda. Lies. #fakenews 
Truth? #hiringfreeze 
Military families don't matter   #MAGA 
#NeverTrump #toldyouso  https://t.co/1eV1D8wNrF"
2017-02-22 23:51:02,The OKC bomber was an atheist who claim his religion was science. #FakeNews https://t.co/sBnUEhI8x5
2017-02-22 23:50:45,"@brianstelter correction, just a retweet w/ a small quote. #FakeNews https://t.co/sl2VRqy27b"
2017-02-22 23:50:38,"@morningmika how does it feel? 
HOW👏 DOES 👏IT 👏FEEL👏??? 
You are sooooo screwed. #WordsMatter
#FakeNews… https://t.co/WlRhIm8sgH"
2017-02-22 23:50:22,#MAGA DOUCHEBAG #FAKENEWS #CNNleaks #Putinspuppet #Trumprussia just more proof 45s minions are f÷cking insane.👇👇👇 https://t.co/wP3jTuZZ1k
2017-02-22 23:50:16,thank you @other98. This works for me. What about you @TShirts4All? Still think it's #FakeNews? https://t.co/5xXEJJEYeJ
2017-02-22 23:50:10,#FakeNews Alert | WATCH: Trump Scolds CNN Reporter At Press Conference https://t.co/4PQLiwLxUV
2017-02-22 23:49:20,"Wolf Blitzer already getting blamed
#CNNLeaks #FakeNews 
#CNN #MAGA https://t.co/1mZpCsbVxZ"
2017-02-22 23:49:17,A Stylometric Inquiry into Hyperpartisan and Fake News - https://t.co/kODPZT1RaA  #opsec #fakenews #cybersecurity… https://t.co/MFYMrUbZsq
2017-02-22 23:49:01,"Surprised? 

Trust No One, Take No Prisoners.

#ProtectOurBorders 🐸
#FakeNews 🇺🇸 https://t.co/nu6tXfrf2X"
2017-02-22 23:48:58,https://t.co/f5mxy6VcPb #Mika admits the media's job is to control what people think. #MSM - They are #FakeNews.
2017-02-22 23:48:54,"O'KEEFE TARGETS CNN: SET TO RELEASE HUNDREDS OF HOURS OF NEWSROOM FOOTAGE... https://t.co/lzZsEUNjBn 
@CNN  is #fakenews"
2017-02-22 23:48:50,@CNN nope #FakeNews https://t.co/p2XM36R8Pz
2017-02-22 23:48:38,"Nothing but silence from ""free press"" @brianstelter.

0 tweets about ""anti-Semitic"" Pence visiting the vandalized J… https://t.co/2R1Tqv0DB4"
2017-02-22 23:48:26,"I love the President using Twitter. 
Like @morningmika admitted today, the news is #FakeNews #LyingMedia  https://t.co/0AFaE0CSLU"
2017-02-22 23:48:21,More #fakenews via #MSM https://t.co/rrsRVr8v2W
2017-02-22 23:48:11,"Yep, there it is! Whatever happened to ""REPORTING"" the news?! False news reporting, aka #FAKENEWS by #LiberalMedia… https://t.co/OsheQlm4Hp"
2017-02-22 23:48:03,#fakenews with ties to #pizzagate https://t.co/Q2A9aGszTP
2017-02-22 23:47:46,"Trolling the troll
Not for the faint hearted 
#faketroll #fakenews #thedonald #orangina… https://t.co/RJ5OKe4aza"
2017-02-22 23:47:40,@CNN we are all looking forward to tomorrow and watching your stock fall.... #fakenews https://t.co/OSUy0Ft1Bg
2017-02-22 23:47:35,"Nothing ""awkward"" about it.
She's a TRUE feminist.

#FakeNews https://t.co/ZeO2fI0YT1"
2017-02-22 23:47:33,I hope these cases increase and they win. Maybe it will bankrupt the #FakeNews hacks https://t.co/WjglkjZ5jA
2017-02-22 23:47:32,"With Big Red Stamp, Russia Singles Out What It Calls ‘Fake’ News - https://t.co/NyQ4992FxZ #fakenews https://t.co/1cAgkRtbFw"
2017-02-22 23:47:20,"#CNNLeaks is set to come tomorrow via @JamesOKeefeIII #Veritas

So long @CNN #fakenews https://t.co/BIJA6IMai3"
2017-02-22 23:47:19,"@sweetatertot2 @Kam222Kay
Oh my. What shall they do about the #FakeNews epidemic? https://t.co/cRTXbPXYpa"
2017-02-22 23:46:59,Viral agency admits video of female cyclist revenge may be fake - https://t.co/G8rBhAjzk5 -Feminism at it worst #fakenews
2017-02-22 23:46:57,@CNN we investigated ourselves and found no wrong doing #fakenews #MediaLiesAgain #CNNLeaks https://t.co/r4bIF4fN63
2017-02-22 23:46:33,"""Media""  is nothing but BILLION $$ CORPORATIONS engaged in #leftist propaganda @proudwednesday 

#FakeNews… https://t.co/c8Z14zws2S"
2017-02-22 23:46:20,For my bartender pals #FakeNews https://t.co/D2eudqcRuM https://t.co/huWSm0uwLi
2017-02-22 23:46:13,"Ahora Rusia acusa a The New York Times, Bloomberg y NBC de difundir #FakeNews  https://t.co/0mYes7J7Yc… https://t.co/yn5II0YkzX"
2017-02-22 23:46:10,@ErnestHillWines is all real. No #fakewine or #fakenews from us. https://t.co/Pi5iO4NODP
2017-02-22 23:46:02,"WaPo's ""Democracy Dies in Darkness"" is an astonishing piece of hypocrisy from a Neocon propaganda #FakeNews outlet… https://t.co/BgKxQs1X91"
2017-02-22 23:45:36,"Enda Kenny is ""going nowhere"" says Simon Harris. Inconfirmed. #endakenny #fakenews https://t.co/YUMEIufD7I"
2017-02-22 23:45:04,Desperate last minute attempt by BBC to imply Putin backs @UKLabour &amp; not #UKIP in #stokebyelection  https://t.co/4QVIMoZ4Y9 #FakeNews 1/2
2017-02-22 23:44:54,"I found the last clueless person in America, the only one who hasn't figured out that @CNN is #FakeNews. She'll fin… https://t.co/midw6k5fr6"
2017-02-22 23:44:51,"CNN is the 👑 of #FakeNews 💉💊🔪🔫
Clinton's News Network betrayed the trust of American citizens.
#LockHerUp 👵… https://t.co/6JfSmXiSBq"
2017-02-22 23:44:15,And that's how you get #FakeNews kids! https://t.co/fWPImj2oDq
2017-02-22 23:44:12,So much #fakenews by #liberals and #MediaLiesAgain #MediaMisleadingNation and people... by #porschebrennan5 https://t.co/GxhPhTBBte
2017-02-22 23:43:49,"@jack_martinez_
Back off Jack! You're #FakeNews troll!! Lol
@PamelaStar23 @_DeplorableMe_ https://t.co/GgdW9r6JvJ"
2017-02-22 23:43:30,“@realDonaldTrump is losing his war with the media” #FakeNews https://t.co/kfbZnwAQMv https://t.co/NlXgeeiuh0
2017-02-22 23:43:13,"@CNN clowns https://t.co/jbAYl0p69b
#CNNLeaks #FakeNews"
2017-02-22 23:43:05,Every real steeler fan i know is all extra with it.  Cept one.  He aint never even post nothing like this.… https://t.co/5Ir7gOa5gq
2017-02-22 23:42:58,"Does it count as #fakenews when @NASA posts ""artist's concept"" images of exoplanets? https://t.co/KZJ3yPFNQK"
2017-02-22 23:42:40,Early Tweet of The Year Candidate. #tweetoftheyear #chriscillizza #msm #sohard #fakenews #veryfakenews #maga… https://t.co/SszzDmtpB4
2017-02-22 23:42:13,More paid-for #FakeNews on #Facebook  - Good 'ole @MarkZuckerbergF  - he's got it under control. https://t.co/SkiFlAY4CV
2017-02-22 23:41:59,"""Various sources over years""= #fakenews #alternativefacts #stfu https://t.co/N8BCT83pF8"
2017-02-22 23:41:58,Patiently awaiting @realDonaldTrump to call this wonderful scientific discovery #fakenews. #ilovescience https://t.co/nMuNMbrYmp
2017-02-22 23:41:54,"WHAT OUR MEDIA LOOKS LIKE, RIGHT NOW.

#Pizzagate #CNNleaks #VeryFakeNews #FakeNews https://t.co/If4ocxUMY4"
2017-02-22 23:41:46,There's a reason your coffee filter never fits quite right https://t.co/fWmi3DO6fl #FakeNews
